text{ key = "credits.1", value = "CREDITS --------$Thank you for playing!" }
text{ key = "credits.2", value = "Engine -----$Solarus Engine$Created by Christopho$ $Solarus Quest Editor$Created by Christopho and maxs$ $A special thank you to the entire$forum.solarus-games.org community!" }
text{ key = "credits.3", value = "Maps -----$ZeldaHistorian (Matt Wright)$Renkineko - Lost Woods$ $Scripts -----$ZeldaHistorian$Christopho$Renkineko$Diarandor" }
text{ key = "credits.4", value = "Title Screen -----$AGuyWhoGames00$ $Play Testers -----$proutout$MetalES$Diarandor$christopho$ZeroScore" }
text{ key = "credits.5", value = "Story -----$ZeroScore (Justin Wright)$ZeldaHistorian" }
text{ key = "credits.6", value = "Sprites/Tiles -----$Moffett1990 - Floria Baba/Ritos$DJVenom - Beamos$ChaosMiles07 - Ordon Shield/item sprites$Leduardo - Anouki$Desgardes - Subrosians/Tokay/Zoras$Inverder - Giga base (ReDead)$Hero of Time - Big Poe$Gazamaluke7377 / msdbzamine - ReDead$TroutBoy / NewLink - Helmaroc base$TroutBoy - Zora King$Pucifur27 - Hyrule guard$Kleaver & Linkus" }
text{ key = "credits.7", value = "Music -----$ellebirdy23 (Alisa) - Book of Mudora (Laruto's Lament)$Richard Wurth - Interloper Sanctum (Serendipity)$Laura Shigihara - Ballad of the Goddess (Marryn)$Shady Cicada - Groose Theme Rock Cover (Gruce)$Zelda Reorchestrated Team$Nintendo of America" }
text{ key = "credits.8", value = "A very special thank you to...$ $Satoru Iwata$ $Who gave my childhood something to love." }
text{ key = "inventory.caption.item.airship_part.1", value = "Magnetite" }
text{ key = "inventory.caption.item.airship_part.2", value = "Propeller" }
text{ key = "inventory.caption.item.airship_part.3", value = "Din's Pearl" }
text{ key = "inventory.caption.item.airship_part.4", value = "Master Ore" }
text{ key = "inventory.caption.item.airship_part.5", value = "Sequence Completed" }
text{ key = "inventory.caption.item.alchemy_counter.1", value = "Alchemy Stone" }
text{ key = "inventory.caption.item.amber_counter.1", value = "Goron Amber" }
text{ key = "inventory.caption.item.apple_counter.1", value = "Apples" }
text{ key = "inventory.caption.item.bomb_counter.1", value = "Bombs" }
text{ key = "inventory.caption.item.book_mudora.1", value = "Dingy Page?" }
text{ key = "inventory.caption.item.book_mudora.2", value = "Pages of a Book?" }
text{ key = "inventory.caption.item.book_mudora.3", value = "Book of Mudora$Pages" }
text{ key = "inventory.caption.item.book_mudora.4", value = "Book of Mudora$Pages" }
text{ key = "inventory.caption.item.book_mudora.5", value = "Book of Mudora$Pages" }
text{ key = "inventory.caption.item.book_mudora.6", value = "Book of Mudora$(Unenchanted)" }
text{ key = "inventory.caption.item.book_mudora.7", value = "Book of Mudora" }
text{ key = "inventory.caption.item.boomerang.1", value = "Boomerang" }
text{ key = "inventory.caption.item.boomerang.2", value = "Magical Boomerang" }
text{ key = "inventory.caption.item.boots.1", value = "Pegasus Boots" }
text{ key = "inventory.caption.item.bottle_1.1", value = "Bottle$(Empty)" }
text{ key = "inventory.caption.item.bottle_1.2", value = "Bottle$(Water)" }
text{ key = "inventory.caption.item.bottle_1.3", value = "Bottle$(Red Potion)" }
text{ key = "inventory.caption.item.bottle_1.4", value = "Bottle$(Green Potion)" }
text{ key = "inventory.caption.item.bottle_1.5", value = "Bottle$(Blue Potion)" }
text{ key = "inventory.caption.item.bottle_1.6", value = "Bottle$(Revit. Potion)" }
text{ key = "inventory.caption.item.bottle_1.7", value = "Bottle$(Fairy)" }
text{ key = "inventory.caption.item.bottle_1.8", value = "Bottle$(Poe Soul)" }
text{ key = "inventory.caption.item.bottle_2.1", value = "Bottle$(Empty)" }
text{ key = "inventory.caption.item.bottle_2.2", value = "Bottle$(Water)" }
text{ key = "inventory.caption.item.bottle_2.3", value = "Bottle$(Red Potion)" }
text{ key = "inventory.caption.item.bottle_2.4", value = "Bottle$(Green Potion)" }
text{ key = "inventory.caption.item.bottle_2.5", value = "Bottle$(Blue Potion)" }
text{ key = "inventory.caption.item.bottle_2.6", value = "Bottle$(Revit. Potion)" }
text{ key = "inventory.caption.item.bottle_2.7", value = "Bottle$(Fairy)" }
text{ key = "inventory.caption.item.bottle_2.8", value = "Bottle$(Poe Soul)" }
text{ key = "inventory.caption.item.bottle_3.1", value = "Bottle$(Empty)" }
text{ key = "inventory.caption.item.bottle_3.2", value = "Bottle$(Water)" }
text{ key = "inventory.caption.item.bottle_3.3", value = "Bottle$(Red Potion)" }
