text{ key = "map.caption.world_map", value = "Mapa del Mundo" }
text{ key = "map.caption.warp", value = "Seleccione Warp Point" }
text{ key = "map.caption.dungeon_name_1", value = "Hyrulian$Alcantarillas/Ruinas" }
text{ key = "map.caption.dungeon_name_2", value = "Arboleda Sagrada" }
text{ key = "map.caption.dungeon_name_3", value = "Piramide Abandonada" }
text{ key = "map.caption.dungeon_name_4", value = "Mausoleo de la Cima$de la Montana" }
text{ key = "map.caption.dungeon_name_5", value = "Guarida de la Laguna" }
text{ key = "map.caption.dungeon_name_6", value = "Cavernas Snowpeak" }
text{ key = "map.caption.dungeon_name_7", value = "Torre de los Vientos" }
text{ key = "map.caption.dungeon_name_8", value = "Santuario Interloper" }

text{ key = "quest_status.caption.rupee_bag_1", value = "Billetera" }
text{ key = "quest_status.caption.rupee_bag_2", value = "Grande Billetera" }
text{ key = "quest_status.caption.rupee_bag_3", value = "Gigante Billetera" }
text{ key = "quest_status.caption.bomb_bag_1", value = "Bolsa de Bombas" }
text{ key = "quest_status.caption.bomb_bag_2", value = "Grande Bolsa de Bombas" }
text{ key = "quest_status.caption.bomb_bag_3", value = "Gigante Bolsa de Bombas" }
text{ key = "quest_status.caption.quiver_1", value = "Carcaj" }
text{ key = "quest_status.caption.quiver_2", value = "Grande Carcaj" }
text{ key = "quest_status.caption.quiver_3", value = "Gigante Carcaj" }
text{ key = "quest_status.caption.ocarina_1", value = "Ocarina del Viento" }
text{ key = "quest_status.caption.glove_1", value = "Pulsera de Hierro" }
text{ key = "quest_status.caption.glove_2", value = "Pulsera de Oro" }
text{ key = "quest_status.caption.flippers_1", value = "Aletas" }
text{ key = "quest_status.caption.pieces_of_heart", value = "Piezas de Corazon" }
text{ key = "quest_status.caption.tunic_1", value = "Tunica Verde" }
text{ key = "quest_status.caption.tunic_2", value = "Tunica Roja" }
text{ key = "quest_status.caption.tunic_3", value = "Tunica Azul" }
text{ key = "quest_status.caption.tunic_4", value = "Tunica Purpura" }
text{ key = "quest_status.caption.sword_1", value = "Espada Ordon" }
text{ key = "quest_status.caption.sword_2", value = "Espada Forjada" }
text{ key = "quest_status.caption.sword_3", value = "Espada de Luz" }
text{ key = "quest_status.caption.shield_1", value = "Escudo Ordon" }
text{ key = "quest_status.caption.shield_2", value = "Escudo Hylian" }
text{ key = "quest_status.caption.shield_3", value = "Escudo de Luz" }
text{ key = "quest_status.caption.quests", value = "Detalles de la mision" }

text{ key = "inventory.caption.item.airship_part.1", value = "Magnetite" }
text{ key = "inventory.caption.item.airship_part.2", value = "Propeller" }
text{ key = "inventory.caption.item.airship_part.3", value = "Perla de Din" }
text{ key = "inventory.caption.item.airship_part.4", value = "Maestro de Mineral" }
text{ key = "inventory.caption.item.airship_part.5", value = "Secuencia Completada" }
text{ key = "inventory.caption.item.alchemy_counter.1", value = "Piedra de Alquimia" }
text{ key = "inventory.caption.item.amber_counter.1", value = "Ambar Goron" }
text{ key = "inventory.caption.item.apple_counter.1", value = "Manzanas" }
text{ key = "inventory.caption.item.bomb_counter.1", value = "Bombas" }
text{ key = "inventory.caption.item.book_mudora.1", value = "Pagina Dingy?" }
text{ key = "inventory.caption.item.book_mudora.2", value = "Paginas de un Libro?" }
text{ key = "inventory.caption.item.book_mudora.3", value = "Libro de Mudora$Paginas" }
text{ key = "inventory.caption.item.book_mudora.4", value = "Libro de Mudora$Paginas" }
text{ key = "inventory.caption.item.book_mudora.5", value = "Libro de Mudora$Paginas" }
text{ key = "inventory.caption.item.book_mudora.6", value = "Libro de Mudora$(Desencantado)" }
text{ key = "inventory.caption.item.book_mudora.7", value = "Libro de Mudora" }
text{ key = "inventory.caption.item.boomerang.1", value = "Bumeran" }
text{ key = "inventory.caption.item.boomerang.2", value = "Bumeran Magico" }
text{ key = "inventory.caption.item.boots.1", value = "Botas de Pegaso" }
text{ key = "inventory.caption.item.bottle_1.1", value = "Botella$(Vacia)" }
text{ key = "inventory.caption.item.bottle_1.2", value = "Botella$(Agua)" }
text{ key = "inventory.caption.item.bottle_1.3", value = "Botella$(Pocion Roja)" }
text{ key = "inventory.caption.item.bottle_1.4", value = "Botella$(Pocion Verde)" }
text{ key = "inventory.caption.item.bottle_1.5", value = "Botella$(Pocion Azul)" }
text{ key = "inventory.caption.item.bottle_1.6", value = "Botella$(Pocion Revit.)" }
text{ key = "inventory.caption.item.bottle_1.7", value = "Botella$(Hada)" }
text{ key = "inventory.caption.item.bottle_1.8", value = "Botella$(Alma Poe)" }
text{ key = "inventory.caption.item.bottle_2.1", value = "Botella$(Vacia)" }
text{ key = "inventory.caption.item.bottle_2.2", value = "Botella$(Agua)" }
text{ key = "inventory.caption.item.bottle_2.3", value = "Botella$(Pocion Roja)" }
text{ key = "inventory.caption.item.bottle_2.4", value = "Botella$(Pocion Verde)" }
text{ key = "inventory.caption.item.bottle_2.5", value = "Botella$(Pocion Azul)" }
text{ key = "inventory.caption.item.bottle_2.6", value = "Botella$(Pocion Revit.)" }
text{ key = "inventory.caption.item.bottle_2.7", value = "Botella$(Hada)" }
text{ key = "inventory.caption.item.bottle_2.8", value = "Botella$(Alma Poe)" }
text{ key = "inventory.caption.item.bottle_3.1", value = "Botella$(Vacia)" }
text{ key = "inventory.caption.item.bottle_3.2", value = "Botella$(Agua)" }
text{ key = "inventory.caption.item.bottle_3.3", value = "Botella$(Pocion Roja)" }
text{ key = "inventory.caption.item.bottle_3.4", value = "Botella$(Pocion Verde)" }
text{ key = "inventory.caption.item.bottle_3.5", value = "Botella$(Pocion Azul)" }
text{ key = "inventory.caption.item.bottle_3.6", value = "Botella$(Pocion Revit.)" }
text{ key = "inventory.caption.item.bottle_3.7", value = "Botella$(Hada)" }
text{ key = "inventory.caption.item.bottle_3.8", value = "Botella$(Alma Poe)" }
text{ key = "inventory.caption.item.bottle_4.1", value = "Botella$(Vacia)" }
text{ key = "inventory.caption.item.bottle_4.2", value = "Botella$(Agua)" }
text{ key = "inventory.caption.item.bottle_4.3", value = "Botella$(Pocion Roja)" }
text{ key = "inventory.caption.item.bottle_4.4", value = "Botella$(Pocion Verde)" }
text{ key = "inventory.caption.item.bottle_4.5", value = "Botella$(Pocion Azul)" }
text{ key = "inventory.caption.item.bottle_4.6", value = "Botella$(Pocion Revit.)" }
text{ key = "inventory.caption.item.bottle_4.7", value = "Botella$(Hada)" }
text{ key = "inventory.caption.item.bottle_4.8", value = "Botella$(Alma Poe)" }
text{ key = "inventory.caption.item.bow.1", value = "Arco" }
text{ key = "inventory.caption.item.bow.2", value = "Arco y Flechas" }
text{ key = "inventory.caption.item.bow_light.1", value = "Arco de Luz" }
