text{ key = "credits.1", value = "CREDITS --------$Merci d'avoir joue!" }
text{ key = "credits.2", value = "Engine -----$Solarus Engine$Cree par Christopho$ $Solarus Quest Editor$Cree par Christopho et maxs$ $Un merci special a l'ensemble$forum.solarus-games.org communaute!" }
text{ key = "credits.3", value = "Cartes -----$ZeldaHistorian (Matt Wright)$Renkineko - Lost Woods$ $Scripts -----$ZeldaHistorian$Christopho$Renkineko$Diarandor" }
text{ key = "credits.4", value = "Ecran Titre -----$AGuyWhoGames00$ $Play Testers -----$proutout$MetalES$Diarandor$christopho$ZeroScore" }
text{ key = "credits.5", value = "Récit -----$ZeroScore (Justin Wright)$ZeldaHistorian" }
text{ key = "credits.6", value = "Sprites/Carrelage -----$Moffett1990 - Floria Baba/Ritos$DJVenom - Beamos$ChaosMiles07 - Ordon Shield/item sprites$Leduardo - Anouki$Desgardes - Subrosians/Tokay/Zoras$Inverder - Giga base (ReDead)$Hero of Time - Big Poe$Gazamaluke7377 / msdbzamine - ReDead$TroutBoy / NewLink - Helmaroc base$TroutBoy - Zora King$Pucifur27 - Hyrule guard$Kleaver & Linkus" }
text{ key = "credits.7", value = "Musique -----$ellebirdy23 (Alisa) - Book of Mudora (Laruto's Lament)$Richard Wurth - Interloper Sanctum (Serendipity)$Laura Shigihara - Ballad of the Goddess (Marryn)$Shady Cicada - Groose Theme Rock Cover (Gruce)$Zelda Reorchestrated Team$Nintendo of America" }
text{ key = "credits.8", value = "Un merci tres special a...$ $Satoru Iwata$ $Qui a donne a mon enfance quelque chose a aimer." }
text{ key = "inventory.caption.item.airship_part.1", value = "Magnetite" }
text{ key = "inventory.caption.item.airship_part.2", value = "Hélice" }
text{ key = "inventory.caption.item.airship_part.3", value = "Perle de Din" }
text{ key = "inventory.caption.item.airship_part.4", value = "Minerai Maitre" }
text{ key = "inventory.caption.item.airship_part.5", value = "Sequence Terminee" }
text{ key = "inventory.caption.item.alchemy_counter.1", value = "Pierre d'Alchimie" }
text{ key = "inventory.caption.item.amber_counter.1", value = "Ambre Goron" }
text{ key = "inventory.caption.item.apple_counter.1", value = "Pommes" }
text{ key = "inventory.caption.item.bomb_counter.1", value = "Bombes" }
text{ key = "inventory.caption.item.book_mudora.1", value = "Page Sombre?" }
text{ key = "inventory.caption.item.book_mudora.2", value = "Pages d'un Livre?" }
text{ key = "inventory.caption.item.book_mudora.3", value = "Livre de Mudora$Pages" }
text{ key = "inventory.caption.item.book_mudora.4", value = "Livre de Mudora$Pages" }
text{ key = "inventory.caption.item.book_mudora.5", value = "Livre de Mudora$Pages" }
text{ key = "inventory.caption.item.book_mudora.6", value = "Livre de Mudora$(Unenchanted)" }
text{ key = "inventory.caption.item.book_mudora.7", value = "Livre de Mudora" }
text{ key = "inventory.caption.item.book_mudora.8", value = "Livre de Mudora" }
text{ key = "inventory.caption.item.boomerang.1", value = "Boomerang" }
text{ key = "inventory.caption.item.boomerang.2", value = "Boomerang Magique" }
text{ key = "inventory.caption.item.boots.1", value = "Bottes de Pegase" }
text{ key = "inventory.caption.item.bottle_1.1", value = "Flacon$(Vide)" }
text{ key = "inventory.caption.item.bottle_1.2", value = "Flacon$(Eau)" }
text{ key = "inventory.caption.item.bottle_1.3", value = "Flacon$(Potion Rouge)" }
text{ key = "inventory.caption.item.bottle_1.4", value = "Flacon$(Potion Verte)" }
text{ key = "inventory.caption.item.bottle_1.5", value = "Flacon$(Potion Bleue)" }
text{ key = "inventory.caption.item.bottle_1.6", value = "Flacon$(Potion Revit.)" }
text{ key = "inventory.caption.item.bottle_1.7", value = "Flacon$(Fee)" }
text{ key = "inventory.caption.item.bottle_1.8", value = "Flacon$(Ame Poe)" }
text{ key = "inventory.caption.item.bottle_2.1", value = "Flacon$(Vide)" }
text{ key = "inventory.caption.item.bottle_2.2", value = "Flacon$(Eau)" }
text{ key = "inventory.caption.item.bottle_2.3", value = "Flacon$(Potion Rouge)" }
text{ key = "inventory.caption.item.bottle_2.4", value = "Flacon$(Potion Verte)" }
text{ key = "inventory.caption.item.bottle_2.5", value = "Flacon$(Potion Bleue)" }
text{ key = "inventory.caption.item.bottle_2.6", value = "Flacon$(Potion Revit.)" }
text{ key = "inventory.caption.item.bottle_2.7", value = "Flacon$(Fee)" }
text{ key = "inventory.caption.item.bottle_2.8", value = "Flacon$(Ame Poe)" }
text{ key = "inventory.caption.item.bottle_3.1", value = "Flacon$(Vide)" }
text{ key = "inventory.caption.item.bottle_3.2", value = "Flacon$(Eau)" }
text{ key = "inventory.caption.item.bottle_3.3", value = "Flacon$(Potion Rouge)" }
text{ key = "inventory.caption.item.bottle_3.4", value = "Flacon$(Potion Verte)" }
text{ key = "inventory.caption.item.bottle_3.5", value = "Flacon$(Potion Bleue)" }
text{ key = "inventory.caption.item.bottle_3.6", value = "Flacon$(Potion Revit.)" }
text{ key = "inventory.caption.item.bottle_3.7", value = "Flacon$(Fee)" }
text{ key = "inventory.caption.item.bottle_3.8", value = "Flacon$(Ame Poe)" }
text{ key = "inventory.caption.item.bottle_4.1", value = "Flacon$(Vide)" }
text{ key = "inventory.caption.item.bottle_4.2", value = "Flacon$(Eau)" }
text{ key = "inventory.caption.item.bottle_4.3", value = "Flacon$(Potion Rouge)" }
text{ key = "inventory.caption.item.bottle_4.4", value = "Flacon$(Potion Verte)" }
text{ key = "inventory.caption.item.bottle_4.5", value = "Flacon$(Potion Bleue)" }
text{ key = "inventory.caption.item.bottle_4.6", value = "Flacon$(Potion Revit.)" }
text{ key = "inventory.caption.item.bottle_4.7", value = "Flacon$(Fee)" }
text{ key = "inventory.caption.item.bottle_4.8", value = "Flacon$(Ame Poe)" }
text{ key = "inventory.caption.item.bow.1", value = "Arc" }
